epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,418.423,0.82977,0.71886,0.86903,0.76766,0.69046,0.74576,0.52498,0.89828,0.96214,0.91148,0.0003466,0.0003466,0.0003466
68,424.927,0.82861,0.71658,0.87813,0.78911,0.67757,0.73142,0.52756,0.87835,0.92653,0.91789,0.0003367,0.0003367,0.0003367
69,431.326,0.83062,0.74222,0.86757,0.79231,0.67269,0.73996,0.51713,0.9098,0.94787,0.91117,0.0003268,0.0003268,0.0003268
70,437.623,0.79615,0.70461,0.85324,0.73716,0.70932,0.74828,0.52845,0.87151,0.92853,0.91024,0.0003169,0.0003169,0.0003169
71,444.002,0.78822,0.69961,0.86663,0.81191,0.65337,0.73566,0.49422,0.96275,0.96214,0.92601,0.000307,0.000307,0.000307
72,451.053,0.815,0.71755,0.86472,0.77796,0.67102,0.73929,0.52057,0.92027,0.94665,0.92818,0.0002971,0.0002971,0.0002971
73,458.812,0.81886,0.71534,0.86353,0.7831,0.67951,0.73342,0.52159,0.89377,0.93235,0.93258,0.0002872,0.0002872,0.0002872
74,465.698,0.79507,0.67827,0.87036,0.72299,0.70646,0.71774,0.46764,1.08255,0.9811,0.95442,0.0002773,0.0002773,0.0002773
75,472.286,0.81483,0.7011,0.86651,0.8019,0.70021,0.75275,0.54032,0.8757,0.86368,0.93153,0.0002674,0.0002674,0.0002674
76,478.696,0.83032,0.68815,0.86271,0.78433,0.69379,0.74712,0.5102,1.00386,0.91073,0.93585,0.0002575,0.0002575,0.0002575
77,485.045,0.80818,0.69695,0.86226,0.79613,0.68702,0.75547,0.54583,0.87678,0.87267,0.93224,0.0002476,0.0002476,0.0002476
78,491.365,0.8141,0.67095,0.85997,0.71786,0.7333,0.7358,0.50718,0.9797,0.94221,0.93997,0.0002377,0.0002377,0.0002377
79,497.743,0.76877,0.67088,0.85416,0.73003,0.72419,0.74338,0.52378,0.92768,0.90117,0.93222,0.0002278,0.0002278,0.0002278
80,504.196,0.79102,0.67113,0.86137,0.72768,0.71691,0.73493,0.51458,0.94002,0.91457,0.94398,0.0002179,0.0002179,0.0002179
81,510.465,0.79625,0.65949,0.85276,0.71401,0.70163,0.7092,0.47066,1.05768,0.98218,0.96915,0.000208,0.000208,0.000208
82,517.106,0.78914,0.66651,0.87261,0.75062,0.71204,0.73172,0.51127,0.92486,0.90462,0.93942,0.0001981,0.0001981,0.0001981
83,523.515,0.7717,0.65828,0.86625,0.74864,0.72109,0.73953,0.52158,0.90583,0.88901,0.93641,0.0001882,0.0001882,0.0001882
84,529.855,0.78426,0.6629,0.86389,0.77546,0.69913,0.73404,0.5193,0.94265,0.8816,0.9448,0.0001783,0.0001783,0.0001783
85,536.072,0.78621,0.65044,0.85466,0.75275,0.70975,0.73123,0.51247,0.97038,0.89277,0.95589,0.0001684,0.0001684,0.0001684
86,542.354,0.76019,0.64034,0.85863,0.76321,0.71777,0.73882,0.53643,0.88841,0.86065,0.94141,0.0001585,0.0001585,0.0001585
87,548.708,0.74933,0.64857,0.84591,0.77827,0.72752,0.74568,0.53691,0.87805,0.86173,0.93425,0.0001486,0.0001486,0.0001486
88,555.09,0.75057,0.64876,0.85334,0.792,0.71552,0.74969,0.52712,0.9479,0.86082,0.94724,0.0001387,0.0001387,0.0001387
89,561.67,0.77331,0.64212,0.85947,0.77105,0.71531,0.75367,0.53837,0.85116,0.86799,0.92773,0.0001288,0.0001288,0.0001288
90,567.957,0.73341,0.64364,0.85231,0.77936,0.69199,0.74119,0.53905,0.86169,0.87694,0.92705,0.0001189,0.0001189,0.0001189
91,573.843,0.70871,0.64249,0.8419,0.74399,0.7,0.72508,0.52809,0.84758,0.93014,0.91857,0.000109,0.000109,0.000109
92,580.031,0.69279,0.62168,0.85238,0.76138,0.648,0.71801,0.52174,0.87528,0.9399,0.92402,9.91e-05,9.91e-05,9.91e-05
93,585.922,0.68796,0.60015,0.83711,0.77003,0.68381,0.72927,0.52149,0.89281,0.91421,0.92769,8.92e-05,8.92e-05,8.92e-05
94,591.885,0.68358,0.59983,0.83295,0.77243,0.65781,0.72545,0.52091,0.91746,0.90009,0.94515,7.93e-05,7.93e-05,7.93e-05
95,597.936,0.68235,0.58698,0.83797,0.77848,0.68425,0.72794,0.53416,0.85079,0.88548,0.93451,6.94e-05,6.94e-05,6.94e-05
96,603.779,0.71437,0.609,0.83498,0.75011,0.69222,0.72443,0.51126,0.94809,0.89637,0.94593,5.95e-05,5.95e-05,5.95e-05
97,609.702,0.6733,0.58642,0.8377,0.75171,0.71466,0.72779,0.50338,0.99788,0.89939,0.9522,4.96e-05,4.96e-05,4.96e-05
